DATE (MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11)
01-01,16:00,52.8209,223.347,232.55581,7.617,0.928,-8.372,2.0,4.7,0.0,0.0,0.2006
01-01,16:10,55.2432,353.585,234.27191,7.398,0.669,-9.131,2.0,7.7,0.0,0.0,0.2642
01-01,16:20,17.8877,2.16117,235.95312,6.645,0.255,-8.945,1.0,9.45,0.0,0.0,0.1101
01-01,16:30,11.3102,-0.36102,237.60149,6.136,0.109,-8.391,0.0,8.7,0.0,0.0,0.0839
01-01,16:40,6.38637,-0.356075,239.21914,5.675,0.047,-7.953,0.0,3.7,0.0,0.0,0.0
02-01,07:40,35.3569,9.55957,116.83274,10.06,2.851,-6.349,14.0,12.2,0.0,0.0,0.2207
02-01,07:50,45.9801,0.786324,118.51491,10.32,2.912,-6.678,48.0,11.45,0.0,0.0,0.2082
02-01,08:00,59.5947,0.415419,120.23003,10.66,2.954,-7.146,74.0,13.2,0.0,0.0,0.2022
02-01,08:10,87.8977,17.5367,121.98084,10.8,2.934,-7.366,85.0,12.45,0.0,0.0,0.2093
02-01,08:20,91.6172,4.49051,123.77003,11.16,2.962,-7.938,84.0,9.95,0.0,0.0,0.2053
02-01,08:30,114.588,24.6381,125.60027,11.48,3.148,-7.952,84.0,9.95,0.0,0.0,0.2078
02-01,08:40,130.735,15.5881,127.47415,11.69,3.155,-8.245,86.0,12.45,0.0,0.0,0.2044
02-01,08:50,144.613,25.7661,129.39421,11.63,3.211,-7.989,84.0,11.95,0.0,0.0,0.2073
02-01,09:00,161.371,26.3151,131.36283,11.57,3.196,-7.994,80.0,9.7,0.0,0.0,0.2084
02-01,09:10,270.589,261.81,133.38229,11.74,3.216,-8.084,75.0,11.95,0.0,0.0,0.2209
02-01,09:20,316.96,314.672,135.45465,11.98,3.204,-8.496,86.0,15.2,0.0,0.0,0.2221
02-01,09:30,376.369,446.796,137.58175,12.37,3.156,-9.544,75.0,14.7,0.0,0.0,0.224
02-01,09:40,332.34,322.854,139.76517,12.49,3.211,-9.889,63.0,11.45,0.0,0.0,0.2219
02-01,09:50,384.08,426.739,142.0061,12.92,3.227,-10.673,69.0,11.2,0.0,0.0,0.2195
02-01,10:31,399.053,247.877,151.80446,14.5,3.623,-12.877,84.0,12.2,0.0,0.0,0.2135
02-01,10:40,459.969,386.804,154.08431,14.88,3.659,-13.541,80.0,10.45,0.0,0.0,0.2152
02-01,10:50,566.63,567.009,156.66877,15.36,3.904,-13.696,81.0,13.2,0.0,0.0,0.2147
02-01,11:00,548.044,477.485,159.30441,15.6,4.105,-13.395,82.0,12.45,0.0,0.0,0.2153
02-01,11:10,387.302,202.396,161.98753,14.57,3.682,-12.418,78.0,12.2,0.0,0.0,0.2097
02-01,11:20,461.483,376.995,164.7137,14.35,3.446,-13.454,66.0,14.2,0.0,0.0,0.2136
02-01,11:30,494.332,413.19,167.4777,14.29,3.482,-12.918,76.0,14.45,0.0,0.0,0.2111
02-01,11:40,505.303,384.547,170.27366,15.1,3.833,-13.067,75.0,13.45,0.0,0.0,0.2122
02-01,11:50,335.723,155.539,173.09508,14.69,3.792,-12.598,54.0,11.2,0.0,0.0,0.2121
02-01,12:00,384.24,297.84,175.93495,14.63,3.688,-12.712,49.0,8.95,0.0,0.0,0.2138
02-01,12:10,612.377,749.461,178.78589,15.4,4.016,-12.884,52.0,10.7,0.0,0.0,0.2167
02-01,12:20,679.303,839.023,181.64029,15.87,4.181,-13.619,54.0,10.95,0.0,0.0,0.2183
02-01,12:30,667.826,776.298,184.49046,15.73,4.127,-13.273,62.0,7.45,0.0,0.0,0.2167
02-01,12:40,660.084,676.765,187.32882,16.02,4.297,-13.493,77.0,7.7,0.0,0.0,0.2158
02-01,12:50,613.528,535.423,190.148,15.69,4.046,-14.054,82.0,11.95,0.0,0.0,0.2152
02-01,13:00,560.332,461.841,192.94107,15.77,4.116,-13.584,79.0,13.2,0.0,0.0,0.2121
02-01,13:10,590.593,533.746,195.70157,15.78,4.268,-12.732,82.0,14.45,0.0,0.0,0.2171
02-01,13:20,425.996,225.216,198.4237,14.72,3.845,-12.355,78.0,12.7,0.0,0.0,0.2102
02-01,13:30,419.592,245.462,201.10235,14.69,3.694,-12.706,78.0,11.95,0.0,0.0,0.2118
02-01,13:40,403.4,215.88,203.73314,15.04,3.785,-13.215,76.0,9.95,0.0,0.0,0.2113
02-01,13:50,396.976,219.934,206.31248,15.32,3.978,-13.222,74.0,7.2,0.0,0.0,0.2139
02-01,14:00,416.324,276.614,208.83755,15.55,4.128,-12.972,71.0,8.45,0.0,0.0,0.2169
02-01,14:10,339.003,171.878,211.30625,15.59,4.127,-12.973,72.0,7.7,0.0,0.0,0.2144
02-01,14:20,286.437,104.71,213.71723,15.37,4.029,-12.771,74.0,12.7,0.0,0.0,0.2138
02-01,14:30,268.29,108.903,216.06975,15.17,3.848,-13.152,75.0,11.7,0.0,0.0,0.2131
02-01,14:40,213.632,47.6788,218.36369,14.92,3.749,-13.051,75.0,9.95,0.0,0.0,0.2078
02-01,14:50,171.212,15.049,220.59944,14.75,3.705,-13.285,75.0,6.45,0.0,0.0,0.2034
02-01,15:00,136.9,4.57948,222.77788,14.67,3.533,-13.867,77.0,3.95,0.0,0.0,0.1963
02-01,15:10,122.335,8.26879,224.90026,14.42,3.326,-14.274,69.0,6.7,0.0,0.0,0.1956
02-01,15:20,113.82,2.09687,226.96818,14.16,3.174,-14.426,71.0,5.45,0.0,0.0,0.1916
02-01,15:30,117.272,1.00393,228.98352,14.14,3.26,-13.84,81.0,3.95,0.0,0.0,0.1937
02-01,15:40,116.367,0.578613,230.94837,14.18,3.098,-15.002,90.0,5.7,0.0,0.0,0.1941
02-01,15:50,107.759,0.30662,232.86501,14.54,3.284,-15.216,94.0,6.2,0.0,0.0,0.1958
02-01,16:00,91.0492,0.044509,234.73588,14.34,3.258,-14.932,94.0,10.7,0.0,0.0,0.1968
02-01,16:10,73.6188,1.17703,236.5635,14.46,3.218,-15.382,92.0,8.45,0.0,0.0,0.1969
02-01,16:20,65.1707,36.013,238.35049,14.28,3.226,-14.974,89.0,5.45,0.0,0.0,0.2021
02-01,16:30,52.14,47.793,240.09952,14.06,2.992,-15.408,76.0,3.95,0.0,0.0,0.202
02-01,16:40,45.358,108.488,241.8133,14.36,3.107,-16.093,50.0,4.45,0.0,0.0,0.2188
03-01,07:40,78.6335,3.27887,109.83685,5.124,-0.498,-8.798,41.0,1.95,0.0,0.0,0.172
03-01,07:50,83.6699,16.246,111.5851,5.818,-0.144,-8.844,33.0,2.45,0.0,0.0,0.1802
03-01,08:00,75.1691,4.04046,113.3699,5.899,-0.169,-9.169,42.0,2.95,0.0,0.0,0.1677
03-01,08:10,145.609,127.021,115.19513,6.034,-0.077,-8.977,36.0,1.95,0.0,0.0,0.1914
03-01,08:20,169.609,14.7771,117.0647,6.963,0.635,-8.465,81.0,2.45,0.0,0.0,0.1831
03-01,08:30,97.9223,1.60728,118.98263,6.935,0.605,-8.395,88.0,3.2,0.0,0.0,0.1741
03-01,08:40,120.298,-1.86939,120.95299,2.359,-1.087,-5.787,88.0,8.2,0.0,0.0,0.1597
03-01,08:50,190.541,-0.766558,122.97988,0.858,-1.802,-5.502,91.0,9.45,0.0,0.0,0.1689
03-01,09:00,220.605,0.637967,125.06741,0.297,-1.751,-4.451,92.0,7.7,0.0,0.0,0.175
03-01,09:10,262.412,0.766541,127.21965,0.032,-1.795,-4.095,90.0,6.2,0.0,0.0,0.174
03-01,09:20,223.065,1.55288,129.44062,-0.145,-1.807,-3.907,73.0,5.45,0.0,0.0,0.1754
03-01,09:30,692.525,871.119,131.73413,0.514,-1.417,-3.817,71.0,5.95,0.0,0.0,0.1997
03-01,09:40,644.158,793.657,134.1038,0.469,-1.34,-3.64,67.0,5.2,0.0,0.0,0.1996
03-01,09:50,320.751,16.1765,136.55288,0.853,-1.194,-3.894,80.0,4.7,0.0,0.0,0.1748
03-01,10:00,264.758,3.33324,139.08418,0.503,-1.361,-3.661,92.0,4.7,0.0,0.0,0.1726
03-01,10:10,203.324,0.657748,141.69991,0.458,-1.262,-3.562,98.0,3.95,0.0,0.0,0.1651
03-01,10:20,129.468,0.445094,144.40153,0.337,-1.418,-3.618,99.0,2.45,0.0,0.0,0.1594
03-01,10:30,117.345,0.484656,147.18959,0.274,-1.477,-3.677,99.0,2.95,0.0,0.0,0.1599
03-01,10:40,130.344,0.450037,150.06357,0.12,-1.655,-3.955,99.0,2.45,0.0,0.0,0.1607
03-01,10:50,186.135,0.885237,153.02171,0.349,-1.42,-3.72,99.0,2.95,0.0,0.0,0.1663
03-01,11:00,226.513,1.48365,156.06086,0.477,-1.34,-3.64,99.0,3.2,0.0,0.0,0.1678
03-01,11:10,233.05,1.36494,159.17636,0.428,-1.378,-3.578,99.0,4.2,0.0,0.0,0.1699
03-01,11:20,307.377,21.2161,162.36197,0.557,-1.205,-3.505,97.0,3.95,0.0,0.0,0.1752
03-01,11:30,318.737,27.7194,165.60989,0.858,-1.12,-3.62,98.0,2.95,0.0,0.0,0.1746
03-01,11:40,626.205,258.277,168.91074,1.397,-0.596,-2.996,92.0,4.2,0.0,0.0,0.1896
03-01,11:50,743.865,593.747,172.25381,1.937,-0.392,-3.192,75.0,4.95,0.0,0.0,0.1861
03-01,12:00,652.3,311.1,175.62716,1.852,-0.356,-3.056,93.0,3.7,0.0,0.0,0.1642
03-01,12:10,287.481,3.0316,179.01804,2.012,-0.328,-3.228,98.0,3.7,0.0,0.0,0.1734
03-01,12:20,908.888,668.444,182.41313,2.466,-0.244,-3.544,96.0,3.45,0.0,0.0,0.1894
03-01,12:30,265.08,3.57066,185.79902,1.927,-0.479,-3.479,86.0,1.95,0.0,0.0,0.1686
03-01,12:40,339.153,68.7033,189.16256,1.465,-0.761,-3.561,78.0,2.95,0.0,0.0,0.1888
03-01,12:50,856.925,793.749,192.49127,2.98,0.319,-2.881,81.0,2.45,0.0,0.0,0.1912
03-01,13:00,550.81,290.969,195.77364,3.842,0.574,-3.326,77.0,4.2,0.0,0.0,0.1786
03-01,13:10,338.022,15.9888,198.99944,2.243,-0.31,-3.41,95.0,3.2,0.0,0.0,0.1661
03-01,13:20,233.703,-0.207711,202.15989,1.8,-0.567,-3.367,91.0,3.2,0.0,0.0,0.1623
03-01,13:30,186.223,0.207709,205.24776,1.146,-0.879,-3.279,80.0,3.7,0.0,0.0,0.1617
03-01,13:40,191.914,1.18198,208.25743,1.479,-0.683,-3.283,97.0,2.7,0.0,0.0,0.1627
03-01,13:50,227.31,2.93762,211.18481,1.314,-0.834,-3.534,99.0,1.95,0.0,0.0,0.1701
03-01,14:00,575.184,460.151,214.02731,1.76,-0.534,-3.234,99.0,2.45,0.0,0.0,0.1861
03-01,14:10,199.309,2.814,216.78365,1.84,-0.521,-3.421,97.0,3.45,0.0,0.0,0.1672
03-01,14:20,188.665,0.771492,219.45374,1.663,-0.596,-3.396,98.0,1.7,0.0,0.0,0.1606
03-01,14:30,130.88,0.454984,222.03849,1.544,-0.564,-3.064,98.0,2.7,0.0,0.0,0.1578
03-01,14:40,380.382,4.07507,224.53967,2.022,-0.289,-3.179,98.0,3.95,0.0,0.0,0.1689
03-01,14:50,181.506,1.36,226.95973,1.874,-0.415,-3.115,96.0,2.95,0.0,0.0,0.1649
03-01,15:00,116.654,0.059346,229.30168,1.564,-0.55,-3.05,95.0,3.2,0.0,0.0,0.1609
03-01,15:10,121.269,0.242328,231.56891,1.635,-0.483,-3.083,97.0,3.2,0.0,0.0,0.1619
03-01,15:20,86.3716,0.04451,233.76513,1.361,-0.689,-3.089,96.0,3.2,0.0,0.0,0.1581
03-01,15:30,117.739,0.296728,235.89426,1.463,-0.619,-3.119,97.0,1.95,0.0,0.0,0.1651
03-01,15:40,196.285,0.806114,237.96033,1.666,-0.401,-3.001,97.0,3.2,0.0,0.0,0.1722
03-01,15:50,227.453,1.07812,239.96744,1.761,-0.338,-2.738,96.0,3.7,0.0,0.0,0.1688
03-01,16:00,133.826,0.405527,241.91971,1.18,-0.678,-2.878,95.0,3.95,0.0,0.0,0.1638
03-01,16:10,66.7085,-0.163201,243.82124,0.979,-0.629,-2.629,94.0,2.95,0.0,0.0,0.1572
03-01,16:20,48.2229,-0.039564,245.67608,0.888,-0.627,-2.427,95.0,2.95,0.0,0.0,0.156
03-01,16:30,43.7074,-0.098911,247.48821,0.697,-0.857,-2.757,95.0,2.45,0.0,0.0,0.1606
03-01,16:40,41.4554,0.039564,249.26156,0.785,-0.706,-2.606,95.0,2.7,0.0,0.0,0.1678
04-01,07:40,183.045,33.362,101.94498,9.88,3.003,-5.397,78.0,3.2,0.0,0.0,0.1906
04-01,07:50,204.048,35.1869,103.71699,10.71,3.414,-5.486,79.0,2.45,0.0,0.0,0.1884
04-01,08:00,284.363,206.912,105.53175,11.02,3.558,-5.242,74.0,2.45,0.0,0.0,0.1983
04-01,08:10,288.485,143.169,107.39472,11.37,3.682,-5.518,77.0,2.95,0.0,0.0,0.191
04-01,08:20,337.489,265.47,109.31169,12.34,4.861,-3.339,67.0,0.7,0.0,0.0,0.1968
04-01,08:30,459.831,470.68,111.2888,12.4,4.69,-4.01,66.0,1.45,0.0,0.0,0.1984
04-01,08:40,406.006,360.869,113.33258,12.69,4.588,-4.712,66.0,0.0,0.0,0.0,0.1936
04-01,08:50,400.849,279.763,115.44996,13.2,4.451,-5.949,77.0,0.0,0.0,0.0,0.1882
04-01,09:00,462.386,386.996,117.64824,14.04,4.913,-5.687,68.0,0.95,0.0,0.0,0.1902
04-01,09:10,602.241,620.144,119.93513,14.41,5.597,-4.003,65.0,1.2,0.0,0.0,0.1902
04-01,09:20,623.808,618.874,122.31863,14.88,5.751,-4.249,64.0,1.7,0.0,0.0,0.1887
04-01,09:30,620.595,606.225,124.80704,15.87,5.914,-5.286,62.0,1.2,0.0,0.0,0.1851
04-01,09:40,694.14,721.026,127.40879,16.15,5.793,-6.207,55.0,1.95,0.0,0.0,0.1854
04-01,09:50,702.926,712.24,130.13229,16.02,5.287,-8.003,59.0,0.95,0.0,0.0,0.184
04-01,10:00,749.032,686.201,132.98572,16.25,6.003,-5.397,59.0,1.95,0.0,0.0,0.1849
04-01,10:10,590.165,422.987,135.9767,16.22,5.786,-6.114,54.0,0.95,0.0,0.0,0.1791
04-01,10:20,697.449,612.038,139.11189,16.53,5.757,-7.033,49.0,4.95,0.0,0.0,0.1841
04-01,10:30,793.347,728.678,142.39656,17.13,6.41,-5.39,51.0,4.7,0.0,0.0,0.1831
04-01,10:40,714.935,565.298,145.83397,16.44,5.693,-6.907,60.0,4.2,0.0,0.0,0.1811
04-01,10:50,835.636,703.46,149.42473,17.3,6.406,-5.884,63.0,4.45,0.0,0.0,0.1816
04-01,11:00,873.253,770.318,153.1662,17.58,6.706,-4.994,62.0,5.45,0.0,0.0,0.1802
04-01,11:10,741.83,576.253,157.05178,17.49,6.469,-5.931,63.0,4.45,0.0,0.0,0.1805
04-01,11:20,877.135,746.818,161.07048,17.84,6.737,-5.463,68.0,5.2,0.0,0.0,0.1808
04-01,11:30,853.033,651.083,165.20657,17.81,6.424,-6.666,73.0,4.95,0.0,0.0,0.181
04-01,11:40,890.507,699.161,169.43967,17.67,6.449,-6.251,75.0,5.2,0.0,0.0,0.1802
04-01,11:50,873.649,683.703,173.74512,17.63,5.948,-8.152,72.0,2.2,0.0,0.0,0.1818
04-01,12:00,939.827,763.515,178.09488,19.4,7.331,-5.859,69.0,5.7,0.0,0.0,0.1792
04-01,12:10,819.144,557.108,182.4587,18.71,6.647,-7.353,67.0,3.2,0.0,0.0,0.1804
04-01,12:20,756.558,493.146,186.80563,18.6,6.723,-6.677,66.0,4.95,0.0,0.0,0.1805
04-01,12:30,850.63,666.728,191.10559,18.33,6.507,-6.993,61.0,3.45,0.0,0.0,0.1799
04-01,12:40,879.025,698.298,195.33079,17.97,6.289,-7.311,59.0,3.45,0.0,0.0,0.1808
04-01,12:50,858.217,683.291,199.45695,18.07,6.19,-8.01,60.0,2.2,0.0,0.0,0.1813
04-01,13:00,753.318,573.569,203.46411,18.2,6.751,-6.049,59.0,2.45,0.0,0.0,0.1796
04-01,13:10,922.91,870.776,207.337,18.41,6.474,-7.226,54.0,3.95,0.0,0.0,0.1821
04-01,13:20,874.871,815.383,211.06506,18.64,6.68,-6.82,54.0,5.2,0.0,0.0,0.185
04-01,13:30,799.652,715.619,214.64208,18.13,6.505,-6.875,52.0,3.7,0.0,0.0,0.1838
04-01,13:40,797.999,735.17,218.06574,18.85,6.474,-8.326,51.0,1.7,0.0,0.0,0.1838
04-01,13:50,423.634,225.25,221.33696,18.84,6.532,-7.968,63.0,4.2,0.0,0.0,0.1836
04-01,14:00,799.73,740.992,224.45921,18.19,6.183,-8.117,63.0,1.45,0.0,0.0,0.1873
04-01,14:10,729.725,660.768,227.43789,18.95,6.495,-8.505,63.0,2.95,0.0,0.0,0.1878
04-01,14:20,471.959,240.367,230.27979,18.46,6.537,-7.353,74.0,3.95,0.0,0.0,0.1841
04-01,14:30,616.565,438.399,232.9926,18.86,6.525,-8.155,86.0,1.45,0.0,0.0,0.1869
04-01,14:40,410.997,170.997,235.58452,18.53,6.599,-7.001,75.0,1.45,0.0,0.0,0.1755
04-01,14:50,371.89,126.143,238.064,18.19,6.425,-7.275,78.0,2.7,0.0,0.0,0.1811
04-01,15:00,267.478,16.854,240.43945,17.83,6.347,-6.953,87.0,3.95,0.0,0.0,0.1741
04-01,15:10,301.901,70.4468,242.71913,17.72,6.006,-8.094,94.0,0.0,0.0,0.0,0.1774
04-01,15:20,296.667,57.8713,244.91105,18.09,6.501,-6.599,94.0,3.95,0.0,0.0,0.1797
04-01,15:30,462.939,264.43,247.02287,18.01,6.17,-8.03,97.0,2.2,0.0,0.0,0.1783
04-01,15:40,300.017,86.2032,249.06186,18.86,6.562,-7.938,93.0,1.95,0.0,0.0,0.1847
04-01,15:50,242.079,19.1882,251.03491,17.95,6.11,-7.99,94.0,2.95,0.0,0.0,0.1786
04-01,16:00,210.217,12.2597,252.94852,17.52,5.778,-8.722,96.0,1.7,0.0,0.0,0.1767
04-01,16:10,194.386,22.546,254.8088,17.81,6.243,-7.347,97.0,2.45,0.0,0.0,0.1769
04-01,16:20,208.016,10.7809,256.62151,17.6,6.347,-6.453,97.0,1.95,0.0,0.0,0.1764
04-01,16:30,198.847,48.3906,258.39208,17.67,6.165,-7.335,96.0,1.7,0.0,0.0,0.1853
04-01,16:40,153.771,1.17701,260.12561,17.61,6.127,-7.273,97.0,1.45,0.0,0.0,0.175
05-01,07:40,458.109,788.853,94.11979,21.45,10.401,1.001,16.0,0.0,0.0,0.0,0.2094
05-01,07:50,522.966,870.155,95.81354,22.57,11.311,2.411,13.0,2.2,0.0,0.0,0.2072
05-01,08:00,561.873,890.025,97.55084,22.69,11.019,1.419,13.0,2.45,0.0,0.0,0.2044
05-01,08:10,635.377,903.026,99.33835,23.27,12.04,3.57,36.0,2.95,0.0,0.0,0.2007
05-01,08:20,685.916,892.571,101.18337,22.93,11.741,3.141,53.0,2.45,0.0,0.0,0.1973
05-01,08:30,653.331,811.179,103.09402,23.43,11.794,2.794,41.0,3.2,0.0,0.0,0.1982
05-01,08:40,677.678,852.093,105.07926,22.92,11.9,3.7,28.0,3.2,0.0,0.0,0.1936
05-01,08:50,710.64,912.089,107.14906,23.78,12.28,3.7,16.0,2.7,0.0,0.0,0.1924
05-01,09:00,741.835,929.704,109.31454,23.75,11.992,3.092,27.0,4.7,0.0,0.0,0.1897
05-01,09:10,765.887,943.285,111.58803,23.89,12.197,3.497,31.0,5.2,0.0,0.0,0.1877
05-01,09:20,789.212,949.555,113.98325,23.49,11.926,3.226,25.0,5.45,0.0,0.0,0.1854
05-01,09:30,804.903,941.049,116.51541,23.52,12.171,3.681,21.0,4.7,0.0,0.0,0.1834
05-01,09:40,829.689,946.979,119.20123,23.29,11.914,3.214,18.0,6.2,0.0,0.0,0.1818
05-01,09:50,845.96,939.689,122.05896,23.19,11.756,2.886,22.0,5.45,0.0,0.0,0.1803
05-01,10:00,870.381,944.731,125.10828,23.28,11.879,3.279,23.0,4.95,0.0,0.0,0.1783
05-01,10:10,894.425,953.61,128.3699,23.74,12.543,4.443,29.0,2.7,0.0,0.0,0.1773
05-01,10:20,926.004,956.746,131.86509,24.09,12.411,3.741,26.0,4.95,0.0,0.0,0.1772
05-01,10:30,989.765,892.244,135.61461,23.68,12.466,4.366,35.0,3.7,0.0,0.0,0.1794
05-01,10:40,993.236,958.845,139.63735,23.97,12.135,3.235,37.0,3.95,0.0,0.0,0.1776
05-01,10:50,1006.09,947.919,143.94819,24.17,12.211,3.151,36.0,4.7,0.0,0.0,0.1754
05-01,11:00,992.606,964.488,148.55544,23.99,12.108,3.038,36.0,4.2,0.0,0.0,0.1744
05-01,11:10,1068.63,959.792,153.45763,24.18,12.314,3.424,46.0,3.7,0.0,0.0,0.1739
05-01,11:20,933.385,813.258,158.64026,25.48,12.657,3.157,44.0,1.45,0.0,0.0,0.174
05-01,11:30,1008.98,819.011,164.07309,24.73,12.055,2.155,61.0,3.7,0.0,0.0,0.1813
05-01,11:40,878.985,640.475,169.70879,24.59,12.26,2.87,74.0,4.7,0.0,0.0,0.1732
05-01,11:50,901.189,518.524,175.48395,24.61,11.858,1.858,86.0,3.7,0.0,0.0,0.1749
05-01,12:00,975.203,709.381,181.32292,24.93,12.445,3.145,81.0,2.7,0.0,0.0,0.1744
05-01,12:10,739.636,500.268,187.14411,25.34,12.481,2.701,65.0,2.45,0.0,0.0,0.1711
